channel_id,channel_name,views,total_videos,subscribers
UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,51323017,330,80200
UC8OVLoXv7B1BdOVV44Dz3ig,Project Umbrella,1310512,231,20000
UCxQfqaw1i39eBQG1YJDbDkw,UTOPIA HK,620059,314,4170
UC7OUGIPx0HIB5HA2OSL-Zhg,MW Insurance Academe 保險為什麼,793962,1836,5370
UCCjW9xzAsCSKIzDYCx8CuxA,智偉保險理財Talk,2802309,427,39400
UCFfbH3zDLa47d4nfotQ349Q,投資最容易,3303901,393,34900
