channel_id,channel_name,views,videos,subscribers,thumbnail_url
UC8OVLoXv7B1BdOVV44Dz3ig,Project Umbrella,1310512,231,20000,https://yt3.ggpht.com/ytc/AIdro_liTPwAAdc_UhLWuCCWkvHZRUGnZoZPJPG0YsM3a7pPlw=s800-c-k-c0x00ffffff-no-rj
UCCjW9xzAsCSKIzDYCx8CuxA,智偉保險理財Talk,2802309,427,39400,https://yt3.ggpht.com/C5jki8itSXGSUar9QOW8CD4wNXQXjDTUq6Yj1dZGWfpJlvgNAoMeJKga323N9UvC5L07oRvj=s800-c-k-c0x00ffffff-no-rj
